4119,278,0
4106,265,1
4120,279,2
4107,266,3
4121,280,4
4111,268,5
4118,274,6
4114,271,7
4131,287,8
4118,276,9
4130,287,10
4140,299,11
4137,293,12
4126,283,13
4122,279,14
4135,293,15
4148,306,16
4144,300,17
4122,277,18
4126,282,19
4122,278,20
4127,283,21
4150,305,22
4147,303,23
4147,303,24
4154,312,25
4135,289,26
4138,294,27
4141,296,28
4148,303,29
4132,286,30
4146,296,31
4137,291,32
4129,280,33
4129,284,34
4139,295,35
4136,291,36
4128,282,37
4143,297,38
4147,300,39
4143,292,40
4145,298,41
4142,292,42
4143,292,43
4142,294,44
4151,301,45
4143,289,46
4150,299,47
4151,300,48
4153,302,49
4154,304,50
4158,305,51
4144,292,52
4184,333,53
4162,313,54
4153,304,55
4160,308,56
4152,298,57
4155,302,58
4162,313,59
4160,305,60
4203,348,61
4173,317,62
4175,321,63
4170,315,64
4165,309,65
4164,304,66
4163,304,67
4164,312,68
4167,315,69
4169,312,70
4208,354,71
4170,313,72
4168,315,73
4217,364,74
4179,322,75
4179,321,76
4178,319,77
4187,327,78
4224,366,79
4182,322,80
4204,345,81
4187,334,82
4189,326,83
4185,326,84
4186,332,85
4189,330,86
4185,321,87
4193,335,88
4186,329,89
4178,317,90
4173,308,91
4169,309,92
4175,313,93
4179,319,94
4183,319,95
4208,351,96
4172,314,97
4191,325,98
4218,349,99
4217,356,100
4217,356,101
4197,332,102
4199,334,103
4191,327,104
4188,327,105
4191,326,106
4194,330,107
4192,329,108
4191,327,109
4197,328,110
4197,329,111
4195,330,112
4195,331,113
4195,332,114
4200,337,115
4184,320,116
4208,344,117
4215,352,118
4208,339,119
4218,350,120
4220,350,121
4231,366,122
4223,354,123
4223,353,124
4231,359,125
4229,361,126
4227,354,127
4225,351,128
4230,358,129
4215,338,130
4219,343,131
4223,345,132
4219,342,133
4225,347,134
4218,339,135
4214,336,136
4221,340,137
4214,330,138
4220,339,139
4226,336,140
4243,362,141
4236,351,142
4245,359,143
4241,363,144
4249,360,145
4243,361,146
4245,360,147
4230,342,148
4248,355,149
4240,344,150
4250,358,151
4237,345,152
4239,349,153
4238,343,154
4242,347,155
4243,355,156
4233,338,157
4241,343,158
4242,347,159
4240,349,160
4235,342,161
4237,336,162
4243,347,163
4250,354,164
4249,352,165
4254,356,166
4247,347,167
4256,358,168
4258,360,169
4265,361,170
4258,362,171
4253,358,172
4245,345,173
4267,368,174
4259,360,175
4263,365,176
4262,361,177
4260,359,178
4255,363,179
4264,365,180
4255,360,181
4257,361,182
4268,370,183
4255,360,184
4253,354,185
4254,359,186
4251,353,187
4250,353,188
4254,362,189
4247,349,190
4253,355,191
4255,364,192
4259,365,193
4253,350,194
4251,348,195
4257,353,196
4255,350,197
4257,355,198
4260,364,199
4259,359,200
4259,353,201
4259,353,202
4253,351,203
4254,348,204
4260,360,205
4255,351,206
4264,356,207
4260,350,208
4261,353,209
4257,343,210
4255,353,211
4267,350,212
4259,350,213
4260,347,214
4268,353,215
4265,354,216
4261,354,217
4264,353,218
4265,356,219
4271,361,220
4268,350,221
4272,354,222
4271,356,223
4274,359,224
4279,355,225
4280,366,226
4280,352,227
4286,368,228
4297,376,229
4298,374,230
4302,377,231
4299,375,232
4297,364,233
4302,377,234
4309,389,235
4307,381,236
4310,387,237
4315,387,238
4311,378,239
4311,384,240
4315,386,241
4314,382,242
4315,390,243
4305,375,244
4314,380,245
4300,366,246
4303,374,247
4304,373,248
4303,366,249
4308,375,250
4306,375,251
4307,375,252
4314,381,253
4309,377,254
4309,377,255
4312,380,256
4315,382,257
4315,380,258
4315,372,259
4314,387,260
4320,390,261
4317,371,262
4321,387,263
4325,389,264
4323,384,265
4322,389,266
4324,392,267
4328,387,268
4321,381,269
4323,391,270
4325,385,271
4329,379,272
4328,379,273
4327,377,274
4327,385,275
4332,383,276
4333,388,277
4338,391,278
4333,384,279
4339,394,280
4331,385,281
4328,387,282
4332,385,283
4332,397,284
4326,380,285
4331,384,286
4334,389,287
4330,382,288
4336,398,289
4330,380,290
4326,379,291
4327,382,292
4329,387,293
4323,379,294
4328,389,295
4334,381,296
4332,379,297
4333,384,298
4334,380,299
4338,395,300
4338,383,301
4338,393,302
4338,393,303
4344,396,304
4339,387,305
4337,378,306
4343,394,307
4335,383,308
4338,383,309
4343,399,310
4344,393,311
4336,384,312
